Source ID,Type,Author/Organization,Title,Edition/Year,Main contribution,Modules used,Verification status
PT1,Uploaded textbook,Errol G. Lewars,Computational Chemistry: Introduction to the Theory and Applications of Molecular and Quantum Mechanics,"3rd ed., 2016","Primary sequence: PES, MM, quantum methods, SCF, DFT/applications",M1–M13,Examined
PT2,Uploaded textbook,Christopher J. Cramer,Essentials of Computational Chemistry: Theories and Models,"2nd ed., 2004","Primary theory/model anchor: MM, basis sets, correlation, DFT, properties, solvation",M1–M16,Examined
ST1,Uploaded textbook,K. I. Ramachandran; G. Deepa; K. Namboori,Computational Chemistry and Molecular Modeling: Principles and Applications,2008,"Symmetry, QM, Hückel, HF, semiempirical, DFT, MM, applications","M1, M3, M5–M10, M14",Examined
ST2,Uploaded textbook,David C. Young,Computational Chemistry: A Practical Guide for Applying Techniques to Real-World Problems,2001,"Practical method selection: ab initio, semiempirical, DFT, MM, MD/MC","M1, M4, M8–M9, M16",Examined
ST3,Uploaded practical text,James B. Foresman; Æleen Frisch,Exploring Chemistry with Electronic Structure Methods,"2nd ed., 1996","Model chemistry, single points, geometry optimization, frequencies, basis effects, reactions, excited states, solvation","M2, M6–M7, M11–M13",Examined as scanned page images/TOC and selected visual context
ST4,Uploaded textbook,Alan Hinchliffe,Molecular Modelling for Beginners,"2nd ed., 2008","Electrostatics, classical and molecular modelling foundations","M3, M5",Examined
ST5,Uploaded handbook,Jerzy Leszczynski (ed.),Handbook of Computational Chemistry,2012,Advanced/research context and multiscale computational chemistry,"M1, M8, M15–M16",Examined selectively
ST6,Uploaded review volume,Jerzy Leszczynski (ed.),"Computational Chemistry: Reviews of Current Trends, Vol. 6",2001,Historical/specialized research perspective,M15–M16,Examined selectively
TM1,Uploaded workshop handout,Khaled F. Khaled,Using Computational Tools in Scientific Research,c. 2009,"Practical workshop objectives: MM, electronic structure, semiempirical, ab initio, DFT, frontier orbitals, MD, spectroscopy, QSAR",Practical design,Examined
IS1,External official terminology,IUPAC,Compendium of Chemical Terminology (Gold Book): computational chemistry,"5th ed., online v5.0.0, 2025",Current terminology; individual term CC BY-SA 4.0,M1,Verified online 2026-08
DS1,External scientific infrastructure,Molecular Sciences Software Institute,QCArchive documentation,current web documentation,Scalable records/datasets for quantum chemistry; reproducibility/data workflow,M15,Verified online 2026-08
DS2,External scientific infrastructure,Molecular Sciences Software Institute,Basis Set Exchange,current web resource,Curated/versioned basis-set definitions and nomenclature,M7,Verified online 2026-08
