Module,Topic,Primary/supporting sources,Verification status
M1,Electrochemical nature of corrosion and Faraday’s law,PT1 Ch.1; ST2 Ch.1,Verified and integrated
M2,"Thermodynamics, electrode potentials and Pourbaix diagrams",PT1 Ch.2; ST2 Ch.1; STD1,Verified and integrated
M3,"Electrode kinetics, Tafel behavior and mixed-potential theory",PT1 Ch.2; ST1 Ch.12; STD2/STD7,Verified and integrated
M4,"Passivity, pitting and cyclic polarization",PT1 Ch.3; ST1 Ch.12; STD4,Verified and integrated
M5,"Instrumentation, cells and measurement integrity","ST1 Ch.11; PT1 Chs.2,4,6; STD1",Verified and integrated
M6,"DC techniques: OCP, steps, sweeps, cyclic voltammetry and galvanic current","PT1 Chs.2,3,9; ST1 Ch.12; ST2 §2.1; STD2/STD7",Verified and integrated
M7,Linear polarization resistance and corrosion-rate calculation,PT1 Ch.4; ST2 §4.1; STD3/STD5,Verified and integrated
M8,Electrochemical impedance spectroscopy,ST1 Ch.13; PT1 Ch.4; ST2 §2.1.3; STD6/STD8,Verified and integrated
M9,"Mass transport, hydrodynamics and rotating electrodes",PT1 Ch.5; ST1 Chs.12–13,Verified and integrated
M10,"Current and potential distributions, galvanic corrosion and cathodic protection",PT1 Ch.6; ST1 Chs.15–17,Verified and integrated
M11,Electrochemical noise and stochastic localized-corrosion signals,ST1 Ch.14; RA3/RA5,Verified and integrated
M12,"Localized electrochemical techniques: SVET, SRET, LEIS, SECM, microcells and WBE","ST1 Chs.15,17; RA1/RA2",Verified and integrated
M13,"Scanning Kelvin probe, semiconductor analysis, photoelectrochemistry and EQCM","ST1 Chs.16,18,19; ST2 §2.2.3",Verified and integrated
M14,"Coatings, inhibitors, surface treatments, corrosion models and integrated diagnosis","PT1 Chs.7–9; ST1 Chs.11–19; ST2 Chs.2,4; RA4/RA5",Verified and integrated
