ID,File,Title,Location,Transformation/status,Scientific basis,License/authorization,Caution
FIG01,fig01_corrosion_cell.svg,Coupled corrosion cell,Module 1,Original explanatory SVG drawn for course,Uploaded textbooks and cited standards/articles,Course package; educational reuse with attribution,Conceptual; not experimental data
FIG02,fig02_double_layer.svg,Electrochemical double layer,Visual atlas,Original explanatory SVG drawn for course,Uploaded textbooks and cited standards/articles,Course package; educational reuse with attribution,Conceptual; not experimental data
FIG03,fig03_three_electrode_cell.svg,Three-electrode cell,Module 5,Original explanatory SVG drawn for course,Uploaded textbooks and cited standards/articles,Course package; educational reuse with attribution,Conceptual; not experimental data
FIG04,fig04_pourbaix.svg,Pourbaix diagram,Module 2,Original explanatory SVG drawn for course,Uploaded textbooks and cited standards/articles,Course package; educational reuse with attribution,Conceptual; not experimental data
FIG05,fig05_mixed_potential.svg,Mixed-potential diagram,Modules 3 and 6,Original explanatory SVG drawn for course,Uploaded textbooks and cited standards/articles,Course package; educational reuse with attribution,Conceptual; not experimental data
FIG06,fig06_polarization_passivity.svg,Passivity and cyclic polarization,Module 4,Original explanatory SVG drawn for course,Uploaded textbooks and cited standards/articles,Course package; educational reuse with attribution,Conceptual; not experimental data
FIG07,fig07_lpr.svg,Linear polarization resistance,Module 7,Original explanatory SVG drawn for course,Uploaded textbooks and cited standards/articles,Course package; educational reuse with attribution,Conceptual; not experimental data
FIG08,fig08_eis.svg,EIS representations,Module 8,Original explanatory SVG drawn for course,Uploaded textbooks and cited standards/articles,Course package; educational reuse with attribution,Conceptual; not experimental data
FIG09,fig09_rde.svg,Rotating disk and diffusion layer,Module 9,Original explanatory SVG drawn for course,Uploaded textbooks and cited standards/articles,Course package; educational reuse with attribution,Conceptual; not experimental data
FIG10,fig10_current_distribution.svg,Current/potential distributions,Module 10,Original explanatory SVG drawn for course,Uploaded textbooks and cited standards/articles,Course package; educational reuse with attribution,Conceptual; not experimental data
FIG11,fig11_noise.svg,Electrochemical noise,Module 11,Original explanatory SVG drawn for course,Uploaded textbooks and cited standards/articles,Course package; educational reuse with attribution,Conceptual; not experimental data
FIG12,fig12_local_mapping.svg,Localized scanning map,Module 12,Original explanatory SVG drawn for course,Uploaded textbooks and cited standards/articles,Course package; educational reuse with attribution,Conceptual; not experimental data
FIG13,fig13_skp.svg,Scanning Kelvin probe,Visual atlas / Module 13,Original explanatory SVG drawn for course,Uploaded textbooks and cited standards/articles,Course package; educational reuse with attribution,Conceptual; not experimental data
FIG14,fig14_microcell.svg,Microcapillary cell,Visual atlas / Module 12,Original explanatory SVG drawn for course,Uploaded textbooks and cited standards/articles,Course package; educational reuse with attribution,Conceptual; not experimental data
FIG15,fig15_photo_eqcm.svg,Photoelectrochemistry and EQCM,Module 13,Original explanatory SVG drawn for course,Uploaded textbooks and cited standards/articles,Course package; educational reuse with attribution,Conceptual; not experimental data
FIG16,fig16_method_selection.svg,Method-selection workflow,Module 14,Original explanatory SVG drawn for course,Uploaded textbooks and cited standards/articles,Course package; educational reuse with attribution,Conceptual; not experimental data
