Chapter,Topic,Primary source,Supporting source 1,Supporting source 2,Additional source,Visual source,Status
1,1.1 Chemistry and the Elements,PT1,ST1,ST2,IUPAC periodic table,Original SVG Figure 1.1,Verified for course use
1,1.2 Elements and the Periodic Table,PT1,ST1,ST2,IUPAC periodic table,Original SVG Figure 1.1,Verified for course use
1,1.3 Some Common Groups of Elements and Their Properties,PT1,ST1,ST2,IUPAC periodic table,Original SVG Figure 1.1,Verified for course use
1,1.4 Conservation of Mass and the Law of Definite Proportions,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 1.1,Verified for course use
1,1.5 The Law of Multiple Proportions and Dalton’s Atomic Theory,PT1,ST1,ST2,IUPAC periodic table,Original SVG Figure 1.1,Verified for course use
1,1.6 The Structure of Atoms: Electrons,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 1.1,Verified for course use
1,1.7 The Structure of Atoms: Protons and Neutrons,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 1.1,Verified for course use
1,1.8 Atomic Numbers,PT1,ST1,ST2,IUPAC periodic table,Original SVG Figure 1.1,Verified for course use
1,"1.9 Atomic Masses, Atomic Weights, and the Mole",PT1,ST1,ST2,IUPAC periodic table,Original SVG Figure 1.1,Verified for course use
1,1.10 Nuclear Chemistry: The Change of One Element into Another,PT1,ST1,ST2,IUPAC periodic table,Original SVG Figure 1.1,Verified for course use
1,1.11 Nuclear Change and Radioactivity,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 1.1,Verified for course use
2,2.1 The Nature of Radiant Energy and the Electromagnetic Spectrum,PT1,ST1,ST2,NIST WebBook,Original SVG Figure 2.1,Verified for course use
2,2.2 The Interaction of Radiant Energy with Atoms: Balmer’s Equation,PT1,ST1,ST2,NIST WebBook,Original SVG Figure 2.1,Verified for course use
2,2.3 Particlelike Properties of Radiant Energy: The Photoelectric Effect and Planck’s Postulate,PT1,ST1,ST2,NIST WebBook,Original SVG Figure 2.1,Verified for course use
2,2.4 Wavelike Properties of Matter: De Broglie’s Hypothesis,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 2.1,Verified for course use
2,2.5 The Quantum Mechanical Model of the Atom: Heisenberg’s Uncertainty Principle,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 2.1,Verified for course use
2,2.6 Orbitals and the Three Quantum Numbers,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 2.1,Verified for course use
2,2.7 Orbitals and Their Shapes,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 2.1,Verified for course use
2,2.8 Electron Spin and Pauli’s Exclusion Principle,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 2.1,Verified for course use
2,2.9 The Quantum Mechanical Model and Atomic Line Spectra,PT1,ST1,ST2,IUPAC periodic table,Original SVG Figure 2.1,Verified for course use
2,2.10 Orbital Energy Levels in Multielectron Atoms,PT1,ST1,ST2,NIST WebBook,Original SVG Figure 2.1,Verified for course use
2,2.11 Electron Configurations of Multielectron Atoms,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 2.1,Verified for course use
2,2.12 Some Anomalous Electron Configurations,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 2.1,Verified for course use
2,2.13 Electron Configurations and the Periodic Table,PT1,ST1,ST2,IUPAC periodic table,Original SVG Figure 2.1,Verified for course use
2,2.14 Electron Configurations and Periodic Properties: Atomic Radii,PT1,ST1,ST2,IUPAC periodic table,Original SVG Figure 2.1,Verified for course use
3,"3.1 Ions, Molecules, and Chemical Bonds",PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 3.1,Verified for course use
3,3.2 Naming Ionic Compounds,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 3.1,Verified for course use
3,3.3 Electron Configurations of Ions,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 3.1,Verified for course use
3,3.4 Ionic Radii,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 3.1,Verified for course use
3,3.5 Removing an Electron from an Atom: Ionization Energy,PT1,ST1,ST2,NIST WebBook,Original SVG Figure 3.1,Verified for course use
3,3.6 Higher Ionization Energies,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 3.1,Verified for course use
3,3.7 Adding an Electron to an Atom: Electron Affinity,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 3.1,Verified for course use
3,3.8 The Octet Rule for Main-Group Atoms,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 3.1,Verified for course use
3,3.9 Ionic Bonds and the Formation of Ionic Solids,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 3.1,Verified for course use
3,3.10 Lattice Energies in Ionic Solids,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 3.1,Verified for course use
3,3.11 Chemistry of the Alkali Metals,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 3.1,Verified for course use
3,3.12 Chemistry of the Alkaline-Earth Metals,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 3.1,Verified for course use
3,3.13 Chemistry of the Halogens,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 3.1,Verified for course use
