xA,P_kPa,yA
0.0,40.0,0.0
0.02,41.2,0.04854368932038835
0.04,42.4,0.09433962264150944
0.06,43.6,0.13761467889908258
0.08,44.8,0.17857142857142858
0.1,46.0,0.21739130434782608
0.12,47.2,0.2542372881355932
0.14,48.4,0.2892561983471075
0.16,49.6,0.3225806451612903
0.18,50.8,0.35433070866141736
0.2,52.0,0.38461538461538464
0.22,53.2,0.41353383458646614
0.24,54.4,0.4411764705882353
0.26,55.6,0.4676258992805755
0.28,56.8,0.4929577464788733
0.3,58.0,0.5172413793103449
0.32,59.2,0.5405405405405405
0.34,60.400000000000006,0.5629139072847682
0.36,61.599999999999994,0.5844155844155845
0.38,62.8,0.6050955414012739
0.4,64.0,0.625
0.42,65.2,0.6441717791411042
0.44,66.4,0.6626506024096385
0.46,67.6,0.6804733727810651
0.48,68.8,0.6976744186046512
0.5,70.0,0.7142857142857143
0.52,71.2,0.7303370786516854
0.54,72.4,0.7458563535911602
0.56,73.6,0.7608695652173915
0.58,74.8,0.7754010695187165
0.6,76.0,0.7894736842105263
0.62,77.2,0.8031088082901554
0.64,78.4,0.8163265306122448
0.66,79.6,0.8291457286432161
0.68,80.80000000000001,0.8415841584158414
0.7000000000000001,82.0,0.8536585365853658
0.72,83.19999999999999,0.8653846153846155
0.74,84.4,0.8767772511848341
0.76,85.6,0.8878504672897197
0.78,86.80000000000001,0.8986175115207372
0.8,88.0,0.9090909090909091
0.8200000000000001,89.2,0.9192825112107623
0.84,90.4,0.9292035398230087
0.86,91.6,0.9388646288209608
0.88,92.8,0.9482758620689655
0.9,94.0,0.9574468085106383
0.92,95.2,0.9663865546218487
0.9400000000000001,96.4,0.975103734439834
0.96,97.6,0.9836065573770493
0.98,98.8,0.9919028340080972
1.0,100.0,1.0
